,IPC,AGUASCALIENTES_x,BAJA CALIFORNIA_x,BAJA CALIFORNIA SUR_x,CAMPECHE_x,COAHUILA_x,COLIMA_x,CHIAPAS_x,CHIHUAHUA_x,DISTRITO FEDERAL_x,DURANGO_x,GUANAJUATO_x,GUERRERO_x,HIDALGO_x,JALISCO_x,ESTADO DE MÉXICO_x,MICHOACÁN_x,MORELOS_x,NAYARIT_x,NUEVO LEÓN_x,OAXACA_x,PUEBLA_x,QUERÉTARO_x,QUINTANA ROO_x,SAN LUIS POTOSÍ_x,SINALOA_x,SONORA_x,TABASCO_x,TAMAULIPAS_x,TLAXCALA_x,VERACRUZ_x,YUCATÁN_x,ZACATECAS_x,NACIONAL_x,AGUASCALIENTES_y,BAJA CALIFORNIA_y,BAJA CALIFORNIA SUR_y,CAMPECHE_y,COAHUILA_y,COLIMA_y,CHIAPAS_y,CHIHUAHUA_y,DISTRITO FEDERAL_y,DURANGO_y,GUANAJUATO_y,GUERRERO_y,HIDALGO_y,JALISCO_y,ESTADO DE MÉXICO_y,MICHOACÁN_y,MORELOS_y,NAYARIT_y,NUEVO LEÓN_y,OAXACA_y,PUEBLA_y,QUERÉTARO_y,QUINTANA ROO_y,SAN LUIS POTOSÍ_y,SINALOA_y,SONORA_y,TABASCO_y,TAMAULIPAS_y,TLAXCALA_y,VERACRUZ_y,YUCATÁN_y,ZACATECAS_y,NACIONAL_y,carros
11/2015,-1124.2099999999991,-98.3,1.6999999999999993,-23.200000000000003,-74.0,-55.300000000000004,-587.1999999999999,-96.79999999999998,-14.600000000000001,-14.799999999999999,-64.9,-59.0,-95.69999999999999,-7.900000000000006,-180.4,-39.8,-157.2,-58.900000000000006,-142.2,-69.30000000000001,-36.8,-24.60000000000001,-34.6,-154.0,-53.3,-91.1,-7.100000000000001,-87.09999999999997,-93.9,-12.899999999999999,-67.0,12.800000000000011,-76.0,-60.39999999999999,-1.0,-7.699999999999999,-4.0,-0.6999999999999993,-5.0,-0.3999999999999986,-0.10000000000000142,-4.999999999999998,-0.5,-2.099999999999998,-1.0,0.0,-0.6999999999999993,-1.0999999999999979,-0.40000000000000036,-0.6999999999999993,-0.1999999999999993,-2.1000000000000014,-4.399999999999999,-0.5,-0.6999999999999993,-0.9000000000000021,-0.6000000000000014,-2.0,-3.6000000000000014,-7.0,-0.5,-3.400000000000002,0.0,-1.9000000000000021,-0.7999999999999972,-1.1000000000000014,-3.0,134866.0
12/2015,-441.0500000000029,15.399999999999999,4.199999999999999,-8.9,-44.8,-8.8,22.000000000000004,-59.70000000000002,-25.200000000000003,-1.3000000000000007,9.5,4.4,-21.4,-42.5,19.199999999999996,-7.300000000000001,11.299999999999999,-27.3,31.800000000000004,-16.5,-57.50000000000001,-77.6,-19.0,-110.9,-27.699999999999996,15.5,-19.6,8.5,-33.9,-20.2,-133.9,-105.60000000000001,0.3000000000000007,-24.300000000000004,-3.5000000000000018,-4.300000000000001,-4.799999999999997,-0.8999999999999986,-3.9000000000000004,-1.8000000000000007,-1.5,-3.8000000000000007,-1.3000000000000007,-4.800000000000001,-2.8000000000000007,-1.1999999999999993,-2.1000000000000014,-2.1999999999999993,-1.3000000000000007,-3.0,-1.9000000000000021,-3.8999999999999986,-2.8000000000000007,-2.1000000000000014,-1.5999999999999979,-2.799999999999997,-0.5,-2.299999999999997,-4.299999999999997,-3.1999999999999993,-0.8000000000000007,-2.8999999999999986,-2.200000000000001,-0.5,-0.6000000000000014,-4.1,-2.900000000000002,135510.0
01/2016,653.2699999999968,-19.299999999999997,20.099999999999998,-1.5,-28.4,15.3,48.89999999999999,-56.699999999999996,-1.6000000000000005,2.6000000000000005,-6.299999999999999,-2.5,11.600000000000001,-1.700000000000001,-26.9,4.0,-1.6999999999999993,31.4,-65.4,25.5,-12.599999999999998,15.900000000000002,-1.1000000000000005,-49.10000000000001,4.4,-39.0,17.2,-166.3,20.299999999999997,7.1000000000000005,-28.799999999999997,7.9999999999999964,-12.2,-5.799999999999997,-1.5,2.0,-0.40000000000000213,-2.700000000000003,-1.6999999999999993,-1.0,-0.8000000000000007,-1.5999999999999996,-2.200000000000001,-1.8000000000000007,-1.8000000000000007,-1.1000000000000014,-2.1999999999999993,-1.4000000000000021,-1.5999999999999996,-0.5,-2.5,-2.1000000000000014,-2.5999999999999996,-1.1000000000000014,-1.9000000000000021,-1.8000000000000007,-2.1999999999999993,-3.400000000000002,-1.0,-0.7999999999999989,-3.1999999999999993,-3.0,-1.299999999999999,-3.3999999999999986,-2.8999999999999986,-2.3000000000000007,-1.5999999999999979,167431.0
02/2016,84.16000000000349,5.199999999999999,-44.199999999999996,-5.3,-16.6,-18.5,-84.8,-7.299999999999997,-5.3,-5.9,-4.700000000000001,-3.3000000000000007,-21.1,-5.199999999999999,-3.6000000000000005,-8.399999999999999,-14.8,-31.299999999999997,-0.20000000000000007,-27.6,0.29999999999999893,-22.0,-2.5,-24.0,-4.7,-1.0,-22.2,-35.39999999999999,-23.299999999999997,-10.1,-7.100000000000001,-15.799999999999997,2.4000000000000004,-12.700000000000001,2.9000000000000004,5.0,3.400000000000002,0.0,3.9999999999999982,1.3000000000000007,0.10000000000000142,4.300000000000001,1.700000000000001,4.1,1.4000000000000004,1.1999999999999993,1.0999999999999996,1.6000000000000014,0.9000000000000004,1.8000000000000007,2.5,3.5,3.4000000000000004,0.0,0.9000000000000004,1.3999999999999986,-0.6999999999999993,1.6999999999999993,3.299999999999997,5.1,0.09999999999999787,2.599999999999998,2.0,0.8000000000000007,-0.3000000000000007,3.5999999999999996,2.6999999999999993,168348.0
03/2016,2166.1500000000015,3.0999999999999996,14.6,7.7,-0.6999999999999957,53.199999999999996,15.7,3.3999999999999986,7.1,27.0,15.1,20.9,51.5,14.4,11.3,31.599999999999998,20.6,53.4,28.9,45.7,36.199999999999996,48.6,24.9,15.100000000000001,18.099999999999998,11.1,12.2,-5.800000000000011,46.3,48.800000000000004,16.5,31.1,10.700000000000001,21.200000000000003,2.0,-1.1000000000000014,0.0,4.5,4.0,-1.1000000000000014,3.5,3.099999999999998,1.5999999999999979,2.0999999999999996,2.5000000000000018,-0.09999999999999787,3.5999999999999996,1.0999999999999979,1.8000000000000007,0.3000000000000007,1.8000000000000007,-0.3999999999999986,4.100000000000001,3.3000000000000007,2.5999999999999996,2.5,3.299999999999997,4.800000000000001,0.40000000000000213,0.6000000000000014,4.0,4.200000000000003,0.5999999999999996,4.199999999999999,4.300000000000001,1.6000000000000014,2.3999999999999986,169270.0
04/2016,-96.31000000000495,-11.0,-0.7999999999999989,-5.4,-13.8,-27.799999999999997,-16.3,-1.1000000000000014,-0.5,-8.8,-15.6,-15.0,-42.6,16.400000000000002,-15.000000000000002,-18.9,-18.900000000000002,-7.100000000000001,-28.4,-2.0,-25.4,-0.30000000000000426,-2.1999999999999993,-3.6000000000000014,4.800000000000001,-10.1,-10.899999999999999,-44.49999999999999,4.200000000000003,-15.800000000000004,-8.7,-23.900000000000002,-13.8,-11.5,2.8000000000000007,1.6000000000000014,1.0999999999999979,1.8000000000000007,2.3000000000000007,1.3999999999999986,1.3999999999999986,2.5,2.700000000000003,2.6000000000000014,3.0,2.0,2.3999999999999986,2.5,2.3000000000000007,2.8000000000000007,2.6000000000000014,2.1999999999999993,2.299999999999997,2.0,2.0,3.6999999999999993,0.9000000000000021,1.9000000000000021,1.8999999999999986,1.7999999999999972,1.7000000000000028,2.299999999999997,2.5999999999999996,2.099999999999998,1.5999999999999979,2.6999999999999993,2.1000000000000014,170191.0
05/2016,-325.3199999999997,4.6,-11.2,0.5,42.400000000000006,18.200000000000003,5.3,114.9,4.6,32.8,5.800000000000001,32.2,35.5,16.199999999999996,18.5,58.2,23.200000000000003,47.800000000000004,3.1,47.8,15.800000000000004,15.600000000000001,45.7,-24.799999999999997,33.599999999999994,3.8,-2.4,53.4,75.6,21.5,5.199999999999999,26.3,14.399999999999999,20.1,3.5,0.8999999999999986,1.4000000000000021,1.3000000000000007,2.6999999999999993,1.3000000000000007,0.40000000000000213,3.1000000000000014,0.7999999999999972,2.8000000000000007,2.599999999999998,1.1999999999999993,1.7000000000000028,2.900000000000002,1.1999999999999993,2.1999999999999993,0.7999999999999972,2.8000000000000007,2.1000000000000014,1.0,1.3000000000000007,2.5,0.8000000000000007,2.3999999999999986,2.6999999999999993,2.6000000000000014,1.1999999999999993,2.0,1.3000000000000007,1.7000000000000028,1.4000000000000021,3.1999999999999993,2.1000000000000014,171119.0
06/2016,507.0400000000009,64.7,6.3,3.4,183.2,-1.3000000000000043,153.2,138.09999999999997,45.099999999999994,61.2,47.800000000000004,61.89999999999999,126.79999999999998,81.29999999999998,152.1,93.10000000000001,96.69999999999999,305.40000000000003,157.3,-35.0,151.89999999999998,156.3,60.39999999999999,246.5,81.2,48.7,40.0,125.69999999999999,-8.399999999999991,90.3,170.7,119.69999999999999,53.8,73.6,-1.4000000000000021,7.100000000000001,3.8999999999999986,-1.6999999999999993,2.200000000000003,1.1000000000000014,-2.1000000000000014,3.6000000000000014,-2.0,1.3999999999999986,-1.8000000000000007,-1.6999999999999993,-1.9000000000000021,-1.0,-1.9000000000000004,-1.4000000000000021,-2.6999999999999993,0.6000000000000014,1.1000000000000014,-1.8999999999999986,-1.8000000000000007,-2.599999999999998,-1.0,-1.3000000000000007,3.1000000000000014,6.199999999999999,-1.5,0.5,-2.0,-1.3000000000000007,-0.9000000000000021,-0.6999999999999993,1.1999999999999993,172048.0
07/2016,694.1800000000003,101.69999999999999,17.1,17.1,-64.0,5.800000000000004,93.5,-104.09999999999997,53.2,18.900000000000006,47.3,68.9,12.900000000000006,-57.19999999999999,68.4,1.3999999999999773,16.700000000000003,-70.10000000000002,181.39999999999998,-21.6,-23.400000000000006,-50.900000000000006,-1.0,-179.8,-72.5,177.2,98.19999999999999,-57.599999999999994,-77.19999999999999,-35.39999999999999,8.600000000000023,-65.79999999999998,47.099999999999994,15.100000000000009,-0.8999999999999986,1.6999999999999993,2.6000000000000014,-0.3000000000000007,2.1999999999999993,0.09999999999999787,0.10000000000000142,0.29999999999999716,-0.09999999999999787,0.1999999999999993,-0.8999999999999986,-0.5,0.3000000000000007,-1.1000000000000014,-0.09999999999999964,-1.0,-0.3999999999999986,-0.6000000000000014,2.3999999999999986,-0.10000000000000142,-0.09999999999999787,-0.40000000000000213,1.1999999999999993,0.6999999999999993,-0.10000000000000142,0.6000000000000014,0.1999999999999993,1.6000000000000014,0.09999999999999787,0.0,0.10000000000000142,-0.5,0.5,172978.0
08/2016,880.6500000000015,20.900000000000006,4.899999999999999,30.699999999999996,-7.599999999999994,96.49999999999999,88.5,128.89999999999998,80.80000000000001,-3.5,76.4,45.30000000000001,4.700000000000017,60.69999999999999,-15.299999999999983,29.100000000000023,32.19999999999999,55.69999999999999,-34.799999999999955,91.6,48.10000000000002,43.599999999999994,75.9,117.39999999999999,67.30000000000001,-1.5,-44.3,108.20000000000002,79.19999999999999,43.8,52.5,55.099999999999994,26.599999999999994,46.19999999999999,-0.3999999999999986,-0.1999999999999993,-0.5,-0.10000000000000142,-2.3000000000000007,-0.29999999999999716,-0.1999999999999993,-2.6999999999999993,0.3999999999999986,-1.5999999999999979,-0.1999999999999993,-0.20000000000000284,-0.3000000000000007,-0.09999999999999787,0.3000000000000007,0.20000000000000284,-0.40000000000000213,-0.1999999999999993,-1.3999999999999986,-0.5999999999999979,-0.10000000000000142,-0.3999999999999986,1.0,-0.5999999999999979,-0.7999999999999972,-1.6999999999999993,-0.3000000000000007,-0.3999999999999986,0.20000000000000284,-0.1999999999999993,-0.5,-0.5,-1.0,173915.0
09/2016,-295.5199999999968,-131.6,-4.300000000000001,25.60000000000001,29.5,-63.499999999999986,-26.30000000000001,8.0,-104.9,-14.700000000000003,-97.80000000000001,-156.8,49.19999999999999,-17.599999999999994,-68.30000000000001,-59.900000000000006,-40.79999999999998,-63.39999999999998,-31.600000000000023,-52.3,-9.100000000000023,-18.5,-137.7,-81.1,-42.20000000000002,-78.6,-16.700000000000003,40.80000000000001,-39.5,-42.3,-11.400000000000006,7.800000000000011,-67.89999999999999,-43.29999999999998,-0.40000000000000213,-2.900000000000002,-1.1000000000000014,-0.3999999999999986,-1.3999999999999986,-0.3000000000000007,-0.40000000000000213,-0.5999999999999979,-0.3000000000000007,-0.40000000000000213,-0.3000000000000007,-0.5,-0.3999999999999986,-0.20000000000000284,-0.40000000000000213,-0.40000000000000213,-0.3999999999999986,-0.1999999999999993,-1.3000000000000007,-0.7000000000000028,-0.3999999999999986,-0.3999999999999986,-0.10000000000000142,-0.8000000000000007,-0.20000000000000284,-1.7000000000000028,-0.6999999999999993,-0.8000000000000007,-0.40000000000000213,-0.6000000000000014,-0.3000000000000007,-0.6999999999999993,-0.8000000000000007,174854.0
10/2016,763.4799999999959,-53.3,-26.099999999999998,-77.30000000000001,-121.10000000000001,-73.4,-251.79999999999998,-186.7,-75.60000000000001,-99.10000000000001,-65.89999999999999,-42.1,-202.3,-58.3,-122.5,-108.7,-92.7,-273.3,-235.5,-43.5,-158.79999999999998,-118.8,-30.5,-51.0,-55.699999999999996,-131.6,-77.1,-107.60000000000002,-31.9,-75.4,-32.599999999999994,-121.50000000000001,-68.6,-89.9,-1.3999999999999986,-1.5,-0.6000000000000014,-1.3999999999999986,-3.0,0.6999999999999993,-0.3999999999999986,-2.5,-1.0,-1.8999999999999986,-1.1000000000000014,0.3000000000000007,-1.6999999999999993,-0.3999999999999986,-1.0,-0.3999999999999986,0.1999999999999993,0.0,-2.900000000000002,-0.5999999999999979,-0.9000000000000021,-0.6000000000000014,-1.5,-1.6000000000000014,0.0,-1.3999999999999986,-0.6999999999999993,-2.1999999999999993,-1.0999999999999996,-1.3000000000000007,-1.3999999999999986,-1.4000000000000021,-1.3999999999999986,175794.0
11/2016,-2693.3199999999997,21.400000000000002,3.8000000000000003,-1.3,-28.300000000000004,24.8,4.499999999999993,-36.3,-3.8000000000000007,30.9,-5.799999999999999,5.600000000000001,-5.600000000000001,-5.099999999999994,2.3999999999999986,13.599999999999998,-10.400000000000002,9.799999999999997,-25.8,17.799999999999997,-16.599999999999998,-32.400000000000006,-8.499999999999996,-44.3,1.5,-14.7,-0.6,-32.099999999999994,3.3999999999999986,-9.299999999999997,-110.00000000000001,-25.799999999999997,15.900000000000002,-7.899999999999999,-2.9000000000000004,-4.599999999999998,-4.5,-1.1000000000000014,-4.5,-1.3999999999999986,-1.1000000000000014,-5.400000000000002,-2.1999999999999993,-3.6999999999999993,-2.5,-0.6999999999999993,-2.200000000000003,-2.8000000000000007,-1.8999999999999986,-2.1000000000000014,-1.5999999999999979,-2.0,-3.5,-0.8000000000000007,-1.3999999999999986,-2.8999999999999986,-1.6999999999999993,-3.3999999999999986,-3.599999999999998,-6.100000000000001,-1.8000000000000007,-3.5,-1.4000000000000004,-1.8999999999999986,-1.7000000000000028,-2.8999999999999986,-3.400000000000002,176741.0
12/2016,326.9400000000023,-28.0,41.0,10.899999999999999,-11.600000000000001,-11.8,-38.099999999999994,-41.5,12.8,-42.8,5.1,-23.7,-30.5,-34.7,-23.7,-41.8,-16.8,-57.099999999999994,27.8,-34.1,6.900000000000002,-12.899999999999999,-23.8,7.899999999999999,-31.099999999999998,14.899999999999999,25.1,-76.60000000000001,-34.4,-23.2,-17.200000000000003,31.299999999999997,-14.700000000000001,-4.800000000000001,-0.8000000000000007,-5.200000000000001,-4.299999999999997,0.3999999999999986,-3.1000000000000014,-1.3000000000000007,-0.3999999999999986,-2.6999999999999993,0.9000000000000021,-2.0000000000000018,-0.09999999999999787,-0.10000000000000142,0.0,-1.0999999999999979,0.8999999999999986,-0.5999999999999979,0.5,-3.1000000000000014,-3.799999999999997,-0.1999999999999993,0.09999999999999787,-0.20000000000000284,0.3999999999999986,-0.1999999999999993,-4.300000000000001,-4.299999999999999,0.3000000000000007,-2.5,0.0,-0.40000000000000213,0.6000000000000014,-0.6999999999999993,-2.0,177689.0
