,AGUASCALIENTES,BAJA CALIFORNIA,BAJA CALIFORNIA SUR,CAMPECHE,COAHUILA,COLIMA,CHIAPAS,CHIHUAHUA,DISTRITO FEDERAL,DURANGO,GUANAJUATO,GUERRERO,HIDALGO,JALISCO,ESTADO DE MÉXICO,MICHOACÁN,MORELOS,NAYARIT,NUEVO LEÓN,OAXACA,PUEBLA,QUERÉTARO,QUINTANA ROO,SAN LUIS POTOSÍ,SINALOA,SONORA,TABASCO,TAMAULIPAS,TLAXCALA,VERACRUZ,YUCATÁN,ZACATECAS,NACIONAL
78,348.9,0.0,0.0,184.9,49.7,90.3,148.7,219.7,357.5,248.3,547.0,122.2,169.3,295.4,258.7,188.1,356.9,300.7,76.8,122.0,224.8,334.7,158.0,369.2,113.6,44.7,185.3,192.1,59.6,250.7,182.0,320.1,171.5
79,90.7,0.0,1.4,210.7,29.5,174.3,186.7,82.6,88.2,128.4,77.5,134.9,41.5,161.6,147.6,162.2,173.5,177.8,21.5,80.3,98.0,34.5,148.3,39.3,294.6,76.4,290.5,31.8,73.7,198.0,233.6,115.4,103.8
80,51.9,2.7,10.7,211.0,151.4,162.2,167.3,89.5,159.9,158.7,169.3,229.2,301.1,177.0,161.4,181.5,288.8,272.7,168.3,161.9,310.1,167.7,209.3,156.2,205.7,67.0,226.0,289.0,156.9,418.9,159.7,123.9,155.5
81,39.3,1.1,2.6,124.2,6.5,104.9,155.4,6.1,162.6,16.6,49.8,181.8,91.6,71.5,106.1,92.5,277.5,71.5,51.4,165.5,183.1,23.5,212.0,39.1,6.7,5.5,335.5,71.4,84.1,311.5,200.3,30.7,72.2
82,0.0,3.6,3.4,77.8,16.1,53.5,43.7,37.9,29.5,43.2,17.8,12.2,48.7,29.8,24.4,17.6,27.2,45.7,34.5,24.4,67.7,22.3,45.7,26.8,168.9,30.1,295.5,45.2,56.5,152.3,25.4,15.2,43.3
83,23.1,14.4,3.8,144.4,51.1,3.0,45.0,68.5,12.1,54.0,50.4,7.0,45.8,21.5,12.5,4.4,20.9,41.2,61.1,13.0,35.0,34.0,112.9,49.9,80.0,74.3,234.2,97.6,6.9,123.5,150.3,34.9,59.0
84,135.7,15.8,21.0,56.4,64.1,262.5,62.8,41.6,36.4,121.1,138.4,45.1,68.8,285.4,42.6,118.4,68.2,180.9,77.6,19.9,72.8,122.9,39.8,105.4,180.0,39.4,204.9,101.2,63.9,99.6,26.9,120.8,86.2
85,3.8,107.3,2.1,21.1,37.8,59.8,7.8,37.4,17.8,20.2,21.5,28.5,33.6,24.6,27.9,22.0,33.5,31.6,19.3,9.9,23.6,23.8,16.9,8.2,52.1,38.1,62.5,14.4,17.3,45.2,26.6,14.8,30.5
86,1.7,37.0,30.5,20.3,3.6,0.0,123.6,5.9,9.8,3.6,3.5,0.7,32.7,0.9,17.9,1.0,2.1,1.5,15.4,8.8,16.5,11.5,25.1,24.7,8.1,30.2,40.4,19.1,16.1,30.1,26.1,3.4,19.0
87,9.4,13.5,3.8,26.8,63.8,4.2,45.8,7.6,12.9,3.2,22.6,9.1,20.5,6.1,16.2,16.4,4.5,0.2,44.9,19.1,34.6,21.9,74.7,38.8,0.0,8.7,29.2,85.4,31.8,58.3,96.6,4.8,26.6
88,23.2,0.0,0.0,197.3,116.6,0.0,24.8,32.8,118.7,25.1,78.6,37.9,115.1,24.4,112.4,40.6,119.8,24.6,118.0,49.4,95.4,85.2,24.1,84.7,0.0,8.0,52.3,113.4,209.2,74.2,10.8,45.4,51.6
